,_id,asin,overall,reviewText,reviewTime,reviewerID,summary,unixReviewTime,verified
0,Row(oid='644ead17f66a6378caeef939'),B017O9P72A,1,"The service works with google home, but doesn't work with alexa. I'm getting rid of the ""I'm  not sure"" machine.","12 29, 2017",AA4DHYT5YSSIT,Does not work,1514505600,FALSE
1,Row(oid='644ead17f66a6378caeef944'),B017O9P72A,2,"I have to tell alexa to tell lifx to do things instead of just telling alexa to turn the lights off/on, blue/red/green ect. I know, it sounds like I'm lazy, but the more you have to say to alexa to complete a command raises the chances that alexa will get things wrong. They need to remedy this asap, the good thing is, this can get taken care of in an update. Fwiw I don't know who is at fault, Amazon or lifx.","07 24, 2017",A1ZH6WTMUGWCOU,Commands need to get shorter!!!!,1500854400,FALSE
2,Row(oid='644ead17f66a6378caeef959'),B017O9P72A,3,Null message fixed by logging out!!! Log out and then hit the authorize button. You'll be prompted to log in. I was able to change color right after doing this. In general these bulbs have been difficult for me to set up but now I can change colors with alexa.,"01 5, 2017",A2XD433O61HBZZ,Log out to fix null message,1483574400,FALSE
3,Row(oid='644ead17f66a6378caeef986'),B017O9P72A,1,"When I try to link this app to the alexa app I get a ""message null"" error.
It does not work!","09 15, 2016",A2ZJTS4QMA52IV,Error trying to Authorize,1473897600,FALSE
4,Row(oid='644ead17f66a6378caeef9a1'),B017O9P72A,2,"Horrible,  absolutely amateur coding without true compatibility.  Bragging that lifx has better integration with alexa than other bulbs to any tech blogger that is too lazy to actually test the tech out is both pathetic and borderline fraudulent.

The only reason I went with lifx over hue was the alleged strong integration with echo.  So get you heads out of your arses and fix this.  Insteon has great integration with light controls without the tell such and such bs that lifx has.  Fix it.","03 10, 2016",A2AQ4B1526F3F5,Underwhelming integration and no voice color changing,1457568000,FALSE
5,Row(oid='644ead17f66a6378caeef9a2'),B017O9P72A,5,"Ok I've been seeing a bunch of negative review for this but it works great.

If you want to just say Alexa turn on the xyz lights, connect the bulbs directly to alexa not to the Lifx app. Once you had discovered them create a group for the bulbs you want to use together. So if u label it bedroom lights all you have to do is tell Alexa to turn on or off bedroom lights. BAM!

Please stop down voting the app which was meant to control the lights through the app(aka themes and stuff)","03 9, 2016",A4L3C697HMWC1,Alexa turn off bedroom light!,1457481600,FALSE
6,Row(oid='644ead17f66a6378caeef9cb'),B017OBNR1G,1,be warn that its only integrated but not fully supported. it does not makes sense to use alexa as the middle man to kasa. Alexa should be the midde man between my request and the task not asking alexa to ask somebody to do the task.,"01 3, 2016",A34WZ23W8CRB88,not fully supported,1451779200,FALSE
7,Row(oid='644ead17f66a6378caeef9d7'),B017OBE2NI,4,"The confusion is that the skill utilizes what you have setup through the freebusy website and as such you have to say ""alexa, ask free busy..."" instead of just saying ""alexa, what is on my calendar"".  it is a total work around for iphone calendar users.  alexa will let you import your google and outlook calendars so you can ask alexa directly but not apple calendar.  Confusing.","02 22, 2017",A1UKPFAS7VD5W7,"ical works fine you just have to say ""alexa ask free busy...""",1487721600,FALSE
8,Row(oid='644ead17f66a6378caeefa3c'),B017OBJI46,5,My wife and I love cat facts on alexa.,"07 23, 2018",A36227HWVUBVUY,"Amazing, Meow ",1532304000,FALSE
9,Row(oid='644ead17f66a6378caeefa77'),B017OBJI46,5,It's definitely my go to skill for guests that haven't seen alexa,"01 21, 2017",A1KYK2XKN6K5QF,"Surprisingly, the facts are kind of interesting",1484956800,FALSE
10,Row(oid='644ead17f66a6378caeefaa1'),B017OBMC1M,5,i use this for a 5 minute writing prompt every morning.  its been a good centering tool and handy with alexa's 5 minute alarm (try orca alarm sound).,"12 12, 2015",A1V8T8PJS3ENNE,writing prompt,1449878400,FALSE
11,Row(oid='644ead17f66a6378caeefadb'),B017OBMC1M,5,"I'm not sure why everyone else is having a hard time opening this skill. I simply say ""alexa, open focus word"" clearly and concisely. She gives me a word and a motivational behind it.","01 1, 2017",A1HSJB2S5L2CZW,Works perfectly!,1483228800,FALSE
